llm,story,voice_style,concreteness_specificity,register_level,language_mix,rhythm_syntax,syntax_complexity,paragraphing_lineation,sentence_form_preference,pov_distance,pov_person,pov_scope,tense,free_indirect_presence,narrator_reliability,structure_pacing,temporal_handling,narrative_modality,exposition_strategy,narrative_drive,tone_mood,tonal_span,rhetorical_stance,imagery_density,sensory_bias,motif_strategy,dialogue_density,dialogue_subtext,dialogue_markup,experimentation_degree,associative_gaps,metafictional_devices,closure_cadence,closure_form,genre_family,topic_domain,setting_time,setting_space,worldbuilding_intensity,conflict_type,stakes_level,cast_size,internal_external_ratio,realism_spectrum,ending_valence,prompt_dependency,evaluator_id,raw_path
claude-opus-4-1-20250805-0K,story_wc_13.txt,7.8,7.2,High,Monolingual,7.6,7.0,5.5,Balanced,5.5,ThirdLimited,Single,Past,Incidental,Reliable,6.0,Linear,Balanced,Distributed,Idea,8.0,3.5,Earnest,8.2,Visual,Transforming,0.0,0.0,Minimal,2.0,1.5,Absent,8.5,Resonant,Fabulist,Nature,Timeless,Urban,7.0,Societal,Existential,Solo,4.0,9.0,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_13.txt
claude-opus-4-1-20250805-0K,story_wc_111.txt,8.2,7.5,High,Monolingual,7.8,6.8,6.5,Balanced,6.0,ThirdLimited,Single,Past,Incidental,Reliable,6.0,Linear,Balanced,Distributed,Idea,8.5,5.5,Earnest,8.3,Mixed,Threaded,2.5,4.0,Mixed,2.0,2.0,Absent,8.0,Resonant,Fabulist,Nature,Future,Workplace,4.5,Societal,Existential,Small,3.5,7.5,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_111.txt
claude-opus-4-1-20250805-0K,story_wc_12.txt,9.1,4.3,High,Monolingual,8.4,8.0,6.2,Hypotaxis,5.0,ThirdLimited,Single,Past,Incidental,Reliable,7.2,Linear,Balanced,Distributed,Idea,8.3,3.1,Earnest,8.8,Auditory,Transforming,2.6,7.4,Minimal,6.1,3.0,Absent,8.0,Resonant,Fabulist,Existential,Timeless,Abstract,3.2,Internal,Existential,Duo,2.7,8.6,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_12.txt
claude-opus-4-1-20250805-0K,story_wc_130.txt,8.1,7.6,High,Monolingual,7.8,7.2,6.0,Balanced,6.0,ThirdLimited,Single,Past,Incidental,Reliable,5.5,Linear,Balanced,Distributed,Idea,8.7,3.5,Earnest,8.5,Visual,Transforming,1.5,5.0,Minimal,3.0,2.5,Absent,8.5,Resonant,Fabulist,Existential,Timeless,Abstract,5.0,Internal,Existential,Duo,2.0,8.5,Positive,High,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_130.txt
claude-opus-4-1-20250805-0K,story_wc_141.txt,7.8,7.2,High,Monolingual,7.6,7.0,6.8,Balanced,6.0,ThirdLimited,Single,Past,Incidental,Reliable,7.0,Linear,Balanced,Distributed,Idea,8.0,5.0,Earnest,7.5,Mixed,Threaded,3.5,4.0,Mixed,2.0,1.5,Absent,8.5,Resonant,Fabulist,Memory,Timeless,Workplace,3.0,Internal,Existential,Small,2.5,7.5,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_141.txt
claude-opus-4-1-20250805-0K,story_wc_135.txt,9.0,7.2,High,Monolingual,8.0,7.5,6.5,Balanced,5.0,ThirdLimited,Single,Past,Incidental,Reliable,3.5,Linear,Mosaic,Distributed,Idea,8.0,4.5,Earnest,8.5,Visual,Transforming,1.5,6.0,Mixed,4.0,4.5,Incidental,8.0,Resonant,Literary,Memory,Timeless,Urban,3.5,Societal,Existential,Small,3.0,3.0,Positive,High,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_135.txt
claude-opus-4-1-20250805-0K,story_wc_107.txt,7.8,7.5,High,Monolingual,7.2,6.8,6.0,Balanced,6.0,ThirdLimited,Single,Past,Absent,Reliable,6.5,Linear,Balanced,Distributed,Idea,8.5,3.0,Earnest,8.0,Visual,Transforming,2.0,6.0,Mixed,3.0,1.5,Absent,8.0,Resonant,Literary,Social,Contemporary,Workplace,3.0,Societal,Existential,Small,3.0,1.5,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_107.txt
claude-opus-4-1-20250805-0K,story_wc_116.txt,8.8,6.8,High,Monolingual,8.0,7.8,6.0,Hypotaxis,6.0,ThirdLimited,Single,Past,Incidental,Reliable,2.0,Linear,Reflective,Distributed,Idea,8.5,3.0,Earnest,8.5,Visual,Transforming,0.5,0.0,Minimal,5.5,4.0,Incidental,8.0,Resonant,Fabulist,Existential,Timeless,Abstract,3.5,Internal,Existential,Solo,1.5,8.5,Positive,High,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_116.txt
claude-opus-4-1-20250805-0K,story_wc_132.txt,7.8,8.2,High,Monolingual,7.5,7.0,6.0,Balanced,7.0,ThirdLimited,Single,Past,Incidental,Reliable,6.5,Linear,Balanced,Distributed,Idea,8.0,3.0,Earnest,8.5,Mixed,Transforming,0.8,6.0,Minimal,2.0,2.0,Absent,8.5,Resonant,Fabulist,Nature,Contemporary,Workplace,3.5,Internal,Existential,Solo,2.0,8.5,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_132.txt
claude-opus-4-1-20250805-0K,story_wc_118.txt,8.5,6.8,High,Monolingual,7.8,7.2,6.0,Balanced,6.5,ThirdLimited,Single,Past,Incidental,Reliable,6.0,Linear,Reflective,Distributed,Idea,8.5,3.0,Earnest,8.0,Mixed,Transforming,0.5,2.0,Minimal,3.0,2.5,Incidental,8.0,Resonant,Literary,Existential,Future,Workplace,4.5,Internal,Existential,Solo,2.0,8.0,Positive,High,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_118.txt
claude-opus-4-1-20250805-0K,story_wc_102.txt,9.0,7.0,High,Monolingual,7.5,7.0,6.0,Balanced,7.0,ThirdLimited,Single,Past,Incidental,Reliable,7.5,Linear,Balanced,Distributed,Idea,9.0,3.0,Earnest,8.5,Visual,Threaded,1.0,2.0,Minimal,3.0,2.0,Absent,8.5,Resonant,Fabulist,Existential,Timeless,Transit,4.0,Internal,Existential,Duo,2.0,8.5,Positive,High,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_102.txt
claude-opus-4-1-20250805-0K,story_wc_110.txt,8.6,7.8,High,Monolingual,7.9,7.5,6.5,Balanced,6.5,ThirdLimited,Single,Past,Incidental,Reliable,7.5,Linear,Balanced,Distributed,Character,8.8,3.0,Earnest,8.5,Mixed,Transforming,3.0,7.0,Mixed,2.0,2.0,Absent,8.5,Resonant,Literary,Work,Contemporary,Workplace,2.5,Interpersonal,Relational,Duo,3.0,1.5,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_110.txt
claude-opus-4-1-20250805-0K,story_wc_10.txt,7.8,7.2,High,Monolingual,7.5,6.8,6.0,Balanced,6.5,ThirdLimited,Single,Past,Incidental,Reliable,3.5,Linear,Reflective,Distributed,Idea,8.0,3.0,Earnest,8.5,Visual,Threaded,0.0,0.0,Minimal,2.0,1.0,Absent,8.0,Resonant,Literary,Nature,Contemporary,Workplace,5.0,Internal,Existential,Solo,2.0,6.0,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_10.txt
claude-opus-4-1-20250805-0K,story_wc_105.txt,8.7,7.8,High,Monolingual,7.6,7.5,6.0,Hypotaxis,6.8,ThirdLimited,Single,Past,Incidental,Reliable,5.5,Linear,Reflective,Distributed,Idea,8.6,5.4,Earnest,8.9,Mixed,Transforming,0.0,0.0,Minimal,4.0,3.0,Absent,8.7,Resonant,Literary,Memory,Future,Workplace,4.5,Internal,Existential,Solo,2.2,7.5,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_105.txt
claude-opus-4-1-20250805-0K,story_wc_104.txt,7.5,7.8,High,Monolingual,7.2,6.5,7.0,Balanced,6.0,ThirdLimited,Single,Past,Incidental,Reliable,6.0,Linear,Balanced,Distributed,Plot,8.0,3.5,Earnest,7.5,Mixed,Transforming,0.0,0.0,Minimal,2.0,1.5,Absent,8.5,Resonant,Speculative,Social,Future,Workplace,5.5,Societal,Existential,Solo,5.0,4.0,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_104.txt
claude-opus-4-1-20250805-0K,story_wc_112.txt,8.0,6.5,High,Monolingual,7.0,6.5,5.0,Balanced,6.0,ThirdLimited,Single,Past,Incidental,Reliable,7.0,Linear,Balanced,Distributed,Idea,8.0,3.0,Earnest,7.0,Visual,Threaded,2.0,2.0,Minimal,3.0,2.0,Absent,7.0,Resonant,Speculative,Existential,Future,Workplace,5.0,Internal,Professional,Solo,3.0,8.5,Positive,High,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_112.txt
claude-opus-4-1-20250805-0K,story_wc_129.txt,8.6,8.2,High,Occasional,7.4,7.0,5.5,Balanced,4.5,ThirdOmniscient,Ensemble,Past,Absent,Reliable,5.6,Linear,Balanced,Distributed,Character,8.7,4.6,Earnest,9.0,Visual,Transforming,2.5,5.0,Mixed,3.0,2.0,Absent,9.0,Resonant,Fabulist,Social,Timeless,Rural,5.0,Societal,Relational,Ensemble,3.5,8.0,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_129.txt
claude-opus-4-1-20250805-0K,story_wc_136.txt,8.2,6.5,High,Monolingual,7.8,7.2,5.5,Balanced,6.5,ThirdLimited,Single,Past,Incidental,Reliable,6.8,Linear,Balanced,Distributed,Idea,8.5,3.0,Earnest,8.0,Visual,Threaded,0.5,2.0,Minimal,3.0,2.0,Absent,7.5,Resonant,Fabulist,Existential,Contemporary,Urban,4.0,Internal,Existential,Solo,3.0,8.0,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_136.txt
claude-opus-4-1-20250805-0K,story_wc_137.txt,7.5,6.2,High,Monolingual,7.8,6.8,6.0,Balanced,7.0,ThirdLimited,Single,Past,Incidental,Reliable,3.5,Linear,Reflective,Distributed,Idea,8.0,4.0,Earnest,7.2,Mixed,Transforming,1.0,2.0,Minimal,2.5,2.0,Absent,8.5,Resonant,Literary,Memory,Timeless,Workplace,2.0,Internal,Existential,Solo,1.5,6.0,Positive,High,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_137.txt
claude-opus-4-1-20250805-0K,story_wc_114.txt,8.3,6.4,High,Monolingual,7.8,7.2,6.0,Balanced,7.0,ThirdLimited,Single,Past,Incidental,Ambiguous,5.5,Linear,Reflective,Distributed,Idea,8.7,3.0,Earnest,8.5,Visual,Threaded,0.0,0.0,Minimal,3.0,2.5,Incidental,8.5,Circular,Fabulist,Nature,Contemporary,Workplace,3.0,Internal,Existential,Solo,2.0,7.5,Ambiguous,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_114.txt
claude-opus-4-1-20250805-0K,story_wc_117.txt,7.8,6.8,High,Monolingual,7.5,6.8,6.5,Balanced,7.0,ThirdLimited,Single,Past,Incidental,Reliable,7.0,Linear,Balanced,Distributed,Character,8.5,3.5,Earnest,7.8,Mixed,Transforming,2.5,3.0,Mixed,1.5,1.0,Absent,8.5,Resonant,Literary,Family,Contemporary,Rural,1.0,Internal,Relational,Duo,2.5,3.0,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_117.txt
claude-opus-4-1-20250805-0K,story_wc_131.txt,7.8,8.3,High,Monolingual,7.5,7.2,7.0,Balanced,7.0,ThirdLimited,Single,Past,Incidental,Reliable,7.0,Linear,Balanced,Distributed,Character,8.5,3.0,Earnest,7.8,Mixed,Threaded,2.0,7.5,Minimal,2.0,1.5,Absent,7.5,Resonant,Literary,Memory,Contemporary,Workplace,2.0,Internal,Relational,Duo,2.5,1.5,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_131.txt
claude-opus-4-1-20250805-0K,story_wc_119.txt,7.8,6.8,High,Monolingual,7.5,6.8,7.0,Balanced,6.0,ThirdLimited,Single,Past,Incidental,Reliable,4.5,Linear,Balanced,Distributed,Idea,8.2,3.0,Earnest,7.2,Visual,Transforming,1.0,7.0,Minimal,3.0,2.0,Absent,7.5,Resonant,Literary,Existential,Historical,Rural,4.5,Internal,Existential,Solo,2.5,6.5,Ambiguous,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_119.txt
claude-opus-4-1-20250805-0K,story_wc_133.txt,8.4,7.8,High,Monolingual,7.5,6.8,6.0,Balanced,6.5,ThirdLimited,Single,Past,Incidental,Reliable,6.5,Linear,Balanced,Distributed,Character,8.5,4.5,Earnest,8.0,Visual,Threaded,2.5,6.0,Mixed,2.0,2.0,Absent,8.5,Resonant,Literary,Existential,Future,Rural,4.5,Internal,Existential,Duo,3.0,3.5,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_133.txt
claude-opus-4-1-20250805-0K,story_wc_126.txt,8.1,8.4,High,Monolingual,7.6,7.2,6.3,Hypotaxis,5.2,ThirdLimited,Single,Past,Absent,Reliable,6.4,Linear,Balanced,Distributed,Idea,8.7,4.1,Earnest,8.6,Mixed,Transforming,0.5,2.0,Minimal,2.1,2.2,Absent,8.7,Resonant,Literary,Social,Timeless,Rural,3.6,Environmental,Existential,Ensemble,3.8,2.5,Positive,High,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_126.txt
claude-opus-4-1-20250805-0K,story_wc_115.txt,7.8,7.5,Neutral,Monolingual,7.5,6.8,6.5,Balanced,6.0,ThirdLimited,Single,Past,Incidental,Reliable,6.5,Linear,Balanced,Distributed,Idea,8.5,3.5,Earnest,7.8,Mixed,Threaded,3.0,6.5,Mixed,3.0,2.0,Absent,8.5,Resonant,Literary,Work,Contemporary,Transit,3.0,Internal,Moral,Solo,3.0,3.0,Ambiguous,High,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_115.txt
claude-opus-4-1-20250805-0K,story_wc_124.txt,8.7,8.9,High,Monolingual,8.2,7.6,7.5,Balanced,7.5,ThirdLimited,Single,Past,Incidental,Reliable,6.5,Linear,Balanced,Distributed,Idea,9.2,3.0,Earnest,9.0,Mixed,Transforming,0.0,0.0,Minimal,2.0,2.0,Absent,8.5,Resonant,Literary,Memory,Timeless,Workplace,5.5,Internal,Existential,Solo,1.5,8.0,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_124.txt
claude-opus-4-1-20250805-0K,story_wc_164.txt,8.8,6.6,High,Monolingual,8.2,7.5,6.0,Balanced,6.5,ThirdLimited,Single,Past,Incidental,Reliable,4.5,Linear,Reflective,Distributed,Idea,8.7,3.5,Earnest,8.9,Mixed,Transforming,1.0,3.0,Minimal,2.5,2.0,Absent,7.5,Resonant,Fabulist,Memory,Timeless,Abstract,3.0,Internal,Existential,Solo,1.5,9.0,Positive,High,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_164.txt
claude-opus-4-1-20250805-0K,story_wc_121.txt,8.6,6.8,High,Monolingual,7.6,7.2,5.8,Balanced,6.8,ThirdLimited,Single,Past,Incidental,Reliable,6.0,Linear,Balanced,Distributed,Idea,8.7,5.5,Earnest,8.2,Visual,Transforming,1.0,3.0,Minimal,4.0,3.2,Absent,8.6,Resonant,Speculative,Existential,Timeless,Transit,4.6,Internal,Existential,Solo,2.0,9.0,Positive,High,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_121.txt
claude-opus-4-1-20250805-0K,story_wc_14.txt,8.6,8.2,High,Monolingual,7.8,7.2,5.5,Balanced,5.0,ThirdLimited,Single,Past,Incidental,Reliable,6.2,Linear,Balanced,Distributed,Idea,8.7,3.0,Earnest,8.8,Mixed,Threaded,0.5,5.0,Minimal,3.0,2.0,Absent,7.5,Resonant,Fabulist,Memory,Timeless,Rural,4.5,Societal,Existential,Solo,2.5,7.5,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_14.txt
claude-opus-4-1-20250805-0K,story_wc_127.txt,8.5,8.0,High,Monolingual,8.0,7.5,6.5,Balanced,6.5,ThirdLimited,Single,Past,Incidental,Reliable,6.0,Linear,Balanced,Distributed,Idea,8.0,3.0,Earnest,8.5,Mixed,Threaded,0.5,2.0,Minimal,2.0,2.0,Absent,8.0,Resonant,Fabulist,Memory,Timeless,Abstract,4.5,Internal,Moral,Solo,2.0,8.5,Positive,High,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_127.txt
claude-opus-4-1-20250805-0K,story_wc_123.txt,7.5,7.5,High,Monolingual,7.0,7.0,5.0,Hypotaxis,6.0,ThirdLimited,Single,Past,Incidental,Reliable,4.0,Linear,Reflective,Distributed,Idea,8.5,3.0,Earnest,7.5,Visual,Threaded,1.0,2.0,Minimal,2.0,1.0,Incidental,7.5,Resonant,Literary,Work,Future,Domestic,5.0,Societal,Moral,Solo,4.0,6.0,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_123.txt
claude-opus-4-1-20250805-0K,story_wc_125.txt,8.3,6.5,High,Monolingual,7.8,7.2,6.0,Balanced,7.0,ThirdLimited,Single,Past,Incidental,Reliable,5.0,Braided,Reflective,Distributed,Idea,8.5,3.0,Earnest,7.5,Mixed,Transforming,1.0,4.0,Minimal,3.0,2.0,Absent,8.0,Circular,Speculative,Existential,Contemporary,Rural,3.5,Internal,Moral,Solo,2.0,8.0,Positive,High,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_125.txt
claude-opus-4-1-20250805-0K,story_wc_1.txt,7.8,7.2,High,Monolingual,7.0,6.8,5.5,Balanced,6.0,ThirdLimited,Single,Past,Incidental,Reliable,3.5,Linear,Reflective,Distributed,Character,8.8,4.2,Earnest,8.5,Visual,Transforming,0.0,0.0,Minimal,1.5,2.0,Absent,8.7,Resonant,Literary,Existential,Contemporary,Rural,2.0,Internal,Existential,Solo,2.5,1.5,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_1.txt
claude-opus-4-1-20250805-0K,story_wc_177.txt,8.7,7.5,High,Monolingual,8.2,7.8,6.5,Balanced,7.0,ThirdLimited,Single,Past,Incidental,Reliable,6.5,Flashback,Balanced,Distributed,Idea,8.8,4.5,Earnest,8.3,Mixed,Transforming,0.5,7.0,Minimal,3.5,2.5,Absent,8.5,Circular,Speculative,Existential,Future,Rural,4.5,Internal,Existential,Solo,2.5,8.0,Ambiguous,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_177.txt
claude-opus-4-1-20250805-0K,story_wc_181.txt,8.7,7.0,High,Monolingual,8.2,7.6,6.5,Balanced,7.5,ThirdLimited,Single,Past,Incidental,Reliable,7.0,Linear,Balanced,Distributed,Idea,8.8,5.5,Earnest,8.9,Visual,Transforming,2.0,7.0,Mixed,4.5,3.5,Absent,8.0,Circular,Fabulist,Existential,Future,Abstract,3.5,Internal,Existential,Duo,2.0,9.0,Positive,High,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_181.txt
