LLM,LLM_Full,cat,cat_full,cat_desc,axis,mean
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,paragraphing_lineation,6.110499999999999
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,paragraphing_lineation,5.8557500000000005
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,paragraphing_lineation,5.8645000000000005
command-a,Cohere Command A,13,13,,paragraphing_lineation,4.413875
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,paragraphing_lineation,5.609249999999999
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,paragraphing_lineation,5.4985
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,paragraphing_lineation,2.98625
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,paragraphing_lineation,5.563624999999999
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,paragraphing_lineation,5.2495
glm-4-5,GLM-4.5,14,14,,paragraphing_lineation,4.620625
glm-4-6,GLM-4.6,14,14,,paragraphing_lineation,2.76
gpt-5-medium,GPT-5 (medium reasoning),1,1,,paragraphing_lineation,6.954249999999999
gpt-5-pro,GPT-5 Pro,1,1,,paragraphing_lineation,6.7139999999999995
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,paragraphing_lineation,6.474500000000001
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,paragraphing_lineation,3.2325
gpt-oss-120b,GPT-OSS-120B,1,1,,paragraphing_lineation,1.5246250000000001
grok-4-0709,Grok 4,9,9,,paragraphing_lineation,5.9415
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,paragraphing_lineation,5.97975
kimi-k2,Kimi K2,16,16,,paragraphing_lineation,6.7955
kimi-k2-thinking,Kimi K2 Thinking,16,16,,paragraphing_lineation,4.8
kimi-k2-0905,Kimi K2-0905,16,16,,paragraphing_lineation,5.4975
llama4-maverick,Llama 4 Maverick,3,3,,paragraphing_lineation,3.6508749999999996
mistral-large-2512,Mistral Large 3,5,5,,paragraphing_lineation,6.73
mistral-medium-2508,Mistral Medium 3.1,5,5,,paragraphing_lineation,8.033999999999999
o3-pro-medium,o3-pro (medium reasoning),1,1,,paragraphing_lineation,7.66
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,paragraphing_lineation,3.31375
qwen3-max-preview,Qwen 3 Max Preview,6,6,,paragraphing_lineation,6.90025
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,pov_distance,6.4167499999999995
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,pov_distance,6.288595564941922
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,pov_distance,6.53575
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,pov_distance,6.402
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,pov_distance,6.4582500000000005
command-a,Cohere Command A,13,13,,pov_distance,6.147125
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,pov_distance,6.268
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,pov_distance,6.289
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,pov_distance,6.09725
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,pov_distance,6.495375
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,pov_distance,6.18525
glm-4-5,GLM-4.5,14,14,,pov_distance,6.003375
glm-4-6,GLM-4.6,14,14,,pov_distance,6.400499999999999
gpt-5-medium,GPT-5 (medium reasoning),1,1,,pov_distance,7.497125
gpt-5-pro,GPT-5 Pro,1,1,,pov_distance,7.563
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,pov_distance,6.99
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,pov_distance,6.693250000000001
gpt-oss-120b,GPT-OSS-120B,1,1,,pov_distance,5.878875000000001
grok-4-0709,Grok 4,9,9,,pov_distance,6.0495
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,pov_distance,6.124
kimi-k2,Kimi K2,16,16,,pov_distance,6.522
kimi-k2-thinking,Kimi K2 Thinking,16,16,,pov_distance,6.145
kimi-k2-0905,Kimi K2-0905,16,16,,pov_distance,6.59225
llama4-maverick,Llama 4 Maverick,3,3,,pov_distance,5.680125
mistral-large-2512,Mistral Large 3,5,5,,pov_distance,6.59525
mistral-medium-2508,Mistral Medium 3.1,5,5,,pov_distance,6.7225
o3-pro-medium,o3-pro (medium reasoning),1,1,,pov_distance,6.4535
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,pov_distance,6.729500000000001
qwen3-max-preview,Qwen 3 Max Preview,6,6,,pov_distance,6.5285
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,structure_pacing,6.285875
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,structure_pacing,5.692397043294615
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,structure_pacing,5.4215
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,structure_pacing,5.6545000000000005
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,structure_pacing,5.522
command-a,Cohere Command A,13,13,,structure_pacing,5.0264999999999995
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,structure_pacing,5.962000000000001
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,structure_pacing,6.056749999999999
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,structure_pacing,4.689
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,structure_pacing,6.179625
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,structure_pacing,6.59225
glm-4-5,GLM-4.5,14,14,,structure_pacing,4.670375
glm-4-6,GLM-4.6,14,14,,structure_pacing,5.149249999999999
gpt-5-medium,GPT-5 (medium reasoning),1,1,,structure_pacing,5.8465
gpt-5-pro,GPT-5 Pro,1,1,,structure_pacing,5.845750000000001
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,structure_pacing,6.131749999999999
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,structure_pacing,5.77625
gpt-oss-120b,GPT-OSS-120B,1,1,,structure_pacing,5.045625
grok-4-0709,Grok 4,9,9,,structure_pacing,5.751
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,structure_pacing,6.13525
kimi-k2,Kimi K2,16,16,,structure_pacing,6.8702499999999995
kimi-k2-thinking,Kimi K2 Thinking,16,16,,structure_pacing,5.064
kimi-k2-0905,Kimi K2-0905,16,16,,structure_pacing,6.461
llama4-maverick,Llama 4 Maverick,3,3,,structure_pacing,3.502625
mistral-large-2512,Mistral Large 3,5,5,,structure_pacing,6.428999999999999
mistral-medium-2508,Mistral Medium 3.1,5,5,,structure_pacing,6.82725
o3-pro-medium,o3-pro (medium reasoning),1,1,,structure_pacing,6.86775
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,structure_pacing,6.475499999999999
qwen3-max-preview,Qwen 3 Max Preview,6,6,,structure_pacing,5.88775
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,tone_mood,8.129375
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,tone_mood,8.346356916578669
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,tone_mood,8.3115
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,tone_mood,8.1625
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,tone_mood,8.21325
command-a,Cohere Command A,13,13,,tone_mood,7.877999999999999
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,tone_mood,8.472681704260651
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,tone_mood,8.47025
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,tone_mood,8.0625
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,tone_mood,8.46425
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,tone_mood,8.500499999999999
glm-4-5,GLM-4.5,14,14,,tone_mood,8.040375000000001
glm-4-6,GLM-4.6,14,14,,tone_mood,8.255
gpt-5-medium,GPT-5 (medium reasoning),1,1,,tone_mood,8.903375
gpt-5-pro,GPT-5 Pro,1,1,,tone_mood,8.88275
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,tone_mood,8.66625
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,tone_mood,8.551
gpt-oss-120b,GPT-OSS-120B,1,1,,tone_mood,8.61475
grok-4-0709,Grok 4,9,9,,tone_mood,8.4965
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,tone_mood,8.6085
kimi-k2,Kimi K2,16,16,,tone_mood,8.91525
kimi-k2-thinking,Kimi K2 Thinking,16,16,,tone_mood,8.509500000000001
kimi-k2-0905,Kimi K2-0905,16,16,,tone_mood,8.859
llama4-maverick,Llama 4 Maverick,3,3,,tone_mood,7.7478097622027535
mistral-large-2512,Mistral Large 3,5,5,,tone_mood,8.17375
mistral-medium-2508,Mistral Medium 3.1,5,5,,tone_mood,8.692124999999999
o3-pro-medium,o3-pro (medium reasoning),1,1,,tone_mood,8.86575
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,tone_mood,8.637
qwen3-max-preview,Qwen 3 Max Preview,6,6,,tone_mood,8.812999999999999
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,tonal_span,3.478125
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,tonal_span,3.5187961985216476
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,tonal_span,3.5477499999999997
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,tonal_span,3.47675
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,tonal_span,3.4735
command-a,Cohere Command A,13,13,,tonal_span,2.9589999999999996
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,tonal_span,3.51875
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,tonal_span,3.55775
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,tonal_span,2.7114999999999996
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,tonal_span,3.35375
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,tonal_span,3.1965
glm-4-5,GLM-4.5,14,14,,tonal_span,2.973875
glm-4-6,GLM-4.6,14,14,,tonal_span,2.9745
gpt-5-medium,GPT-5 (medium reasoning),1,1,,tonal_span,4.049625
gpt-5-pro,GPT-5 Pro,1,1,,tonal_span,4.01075
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,tonal_span,3.7602499999999996
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,tonal_span,3.88
gpt-oss-120b,GPT-OSS-120B,1,1,,tonal_span,2.765375
grok-4-0709,Grok 4,9,9,,tonal_span,3.1822500000000002
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,tonal_span,3.25375
kimi-k2,Kimi K2,16,16,,tonal_span,3.8025
kimi-k2-thinking,Kimi K2 Thinking,16,16,,tonal_span,3.0897500000000004
kimi-k2-0905,Kimi K2-0905,16,16,,tonal_span,3.85725
llama4-maverick,Llama 4 Maverick,3,3,,tonal_span,2.299375
mistral-large-2512,Mistral Large 3,5,5,,tonal_span,3.305
mistral-medium-2508,Mistral Medium 3.1,5,5,,tonal_span,3.754125
o3-pro-medium,o3-pro (medium reasoning),1,1,,tonal_span,4.10375
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,tonal_span,3.4497500000000003
qwen3-max-preview,Qwen 3 Max Preview,6,6,,tonal_span,3.585
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,imagery_density,8.089625
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,imagery_density,8.130200633579726
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,imagery_density,7.9552499999999995
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,imagery_density,7.829249999999999
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,imagery_density,7.84225
command-a,Cohere Command A,13,13,,imagery_density,7.4152499999999995
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,imagery_density,8.2095
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,imagery_density,8.212250000000001
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,imagery_density,7.37575
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,imagery_density,8.3175
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,imagery_density,8.5305
glm-4-5,GLM-4.5,14,14,,imagery_density,7.515
glm-4-6,GLM-4.6,14,14,,imagery_density,7.98575
gpt-5-medium,GPT-5 (medium reasoning),1,1,,imagery_density,9.127749999999999
gpt-5-pro,GPT-5 Pro,1,1,,imagery_density,9.112
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,imagery_density,8.756499999999999
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,imagery_density,8.714
gpt-oss-120b,GPT-OSS-120B,1,1,,imagery_density,8.683375
grok-4-0709,Grok 4,9,9,,imagery_density,8.38025
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,imagery_density,8.690750000000001
kimi-k2,Kimi K2,16,16,,imagery_density,9.1135
kimi-k2-thinking,Kimi K2 Thinking,16,16,,imagery_density,8.3695
kimi-k2-0905,Kimi K2-0905,16,16,,imagery_density,9.06475
llama4-maverick,Llama 4 Maverick,3,3,,imagery_density,6.856125
mistral-large-2512,Mistral Large 3,5,5,,imagery_density,8.03025
mistral-medium-2508,Mistral Medium 3.1,5,5,,imagery_density,8.70225
o3-pro-medium,o3-pro (medium reasoning),1,1,,imagery_density,9.04325
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,imagery_density,8.6455
qwen3-max-preview,Qwen 3 Max Preview,6,6,,imagery_density,8.93275
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,dialogue_density,1.83875
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,dialogue_density,1.489334741288279
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,dialogue_density,1.4385
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,dialogue_density,1.99275
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,dialogue_density,1.6580000000000001
command-a,Cohere Command A,13,13,,dialogue_density,0.78175
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,dialogue_density,0.69475
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,dialogue_density,0.625
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,dialogue_density,0.58725
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,dialogue_density,0.71325
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,dialogue_density,0.7765000000000001
glm-4-5,GLM-4.5,14,14,,dialogue_density,0.807
glm-4-6,GLM-4.6,14,14,,dialogue_density,0.8451127819548871
gpt-5-medium,GPT-5 (medium reasoning),1,1,,dialogue_density,1.081
gpt-5-pro,GPT-5 Pro,1,1,,dialogue_density,1.35125
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,dialogue_density,1.649
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,dialogue_density,1.31825
gpt-oss-120b,GPT-OSS-120B,1,1,,dialogue_density,0.244125
grok-4-0709,Grok 4,9,9,,dialogue_density,0.677
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,dialogue_density,1.2522499999999999
kimi-k2,Kimi K2,16,16,,dialogue_density,0.79375
kimi-k2-thinking,Kimi K2 Thinking,16,16,,dialogue_density,0.67475
kimi-k2-0905,Kimi K2-0905,16,16,,dialogue_density,1.02625
llama4-maverick,Llama 4 Maverick,3,3,,dialogue_density,0.1445
mistral-large-2512,Mistral Large 3,5,5,,dialogue_density,1.9195
mistral-medium-2508,Mistral Medium 3.1,5,5,,dialogue_density,1.582625
o3-pro-medium,o3-pro (medium reasoning),1,1,,dialogue_density,0.9825
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,dialogue_density,0.6835
qwen3-max-preview,Qwen 3 Max Preview,6,6,,dialogue_density,0.9995
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,dialogue_subtext,3.004625
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,dialogue_subtext,3.0569165786694827
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,dialogue_subtext,2.74875
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,dialogue_subtext,2.98875
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,dialogue_subtext,2.70375
command-a,Cohere Command A,13,13,,dialogue_subtext,1.145
