LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Tactile,0.010282776349614395
gpt-oss-120b,GPT-OSS-120B,1,1,,Tactile,0.005115089514066497
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Tactile,0.023316062176165803
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Tactile,0.007832898172323759
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Tactile,0.01838235294117647
grok-4-0709,Grok 4,9,9,,Tactile,0.005089058524173028
o3-pro-medium,o3-pro (medium reasoning),1,1,,Tactile,0.0
command-a,Cohere Command A,13,13,,Tactile,0.002617801047120419
kimi-k2,Kimi K2,16,16,,Tactile,0.00516795865633075
glm-4-5,GLM-4.5,14,14,,Tactile,0.005263157894736842
llama4-maverick,Llama 4 Maverick,3,3,,Tactile,0.0025906735751295338
mistral-medium-2508,Mistral Medium 3.1,5,5,,Tactile,0.005115089514066497
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Tactile,0.005154639175257732
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Mixed,0.4308093994778068
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Mixed,0.4713541666666667
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Mixed,0.4087403598971722
gpt-oss-120b,GPT-OSS-120B,1,1,,Mixed,0.47570332480818417
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Mixed,0.4792746113989637
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Mixed,0.4856396866840731
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Mixed,0.4117647058823529
grok-4-0709,Grok 4,9,9,,Mixed,0.3994910941475827
o3-pro-medium,o3-pro (medium reasoning),1,1,,Mixed,0.55470737913486
command-a,Cohere Command A,13,13,,Mixed,0.4109947643979058
kimi-k2,Kimi K2,16,16,,Mixed,0.5788113695090439
glm-4-5,GLM-4.5,14,14,,Mixed,0.35
llama4-maverick,Llama 4 Maverick,3,3,,Mixed,0.33419689119170987
mistral-medium-2508,Mistral Medium 3.1,5,5,,Mixed,0.670076726342711
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Mixed,0.6778350515463918
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Minimal,0.0
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Minimal,0.0
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Minimal,0.0
gpt-oss-120b,GPT-OSS-120B,1,1,,Minimal,0.0
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Minimal,0.0
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Minimal,0.0
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Minimal,0.0
grok-4-0709,Grok 4,9,9,,Minimal,0.0
o3-pro-medium,o3-pro (medium reasoning),1,1,,Minimal,0.0
command-a,Cohere Command A,13,13,,Minimal,0.0
kimi-k2,Kimi K2,16,16,,Minimal,0.0
glm-4-5,GLM-4.5,14,14,,Minimal,0.0
llama4-maverick,Llama 4 Maverick,3,3,,Minimal,0.0
mistral-medium-2508,Mistral Medium 3.1,5,5,,Minimal,0.0
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Minimal,0.0
