LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
kimi-k2,Kimi K2,16,16,,Social,0.0675
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Social,0.1170018281535649
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Social,0.08020050125313283
o3-pro-medium,o3-pro (medium reasoning),1,1,,Social,0.12
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Social,0.06281407035175879
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Social,0.0525
glm-4-5,GLM-4.5,14,14,,Social,0.1
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Social,0.065
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Social,0.0625
gpt-oss-120b,GPT-OSS-120B,1,1,,Social,0.09523809523809523
grok-4-0709,Grok 4,9,9,,Social,0.08521303258145363
mistral-medium-2508,Mistral Medium 3.1,5,5,,Social,0.0725
llama4-maverick,Llama 4 Maverick,3,3,,Social,0.0525
command-a,Cohere Command A,13,13,,Social,0.0625
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Existential,0.3625
kimi-k2,Kimi K2,16,16,,Existential,0.365
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Existential,0.4259597806215722
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Existential,0.44360902255639095
o3-pro-medium,o3-pro (medium reasoning),1,1,,Existential,0.475
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Existential,0.49748743718592964
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Existential,0.5025
glm-4-5,GLM-4.5,14,14,,Existential,0.505
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Existential,0.51
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Existential,0.5325
gpt-oss-120b,GPT-OSS-120B,1,1,,Existential,0.543859649122807
grok-4-0709,Grok 4,9,9,,Existential,0.5538847117794486
mistral-medium-2508,Mistral Medium 3.1,5,5,,Existential,0.5625
llama4-maverick,Llama 4 Maverick,3,3,,Existential,0.6225
command-a,Cohere Command A,13,13,,Existential,0.625
